# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:TB                    10:EB                 
   33       1.534970299052e-10       4.412294713776e-15       9.111551737016e-14       9.111551737016e-13       2.508891999018e-13       3.645289750578e-16       1.329170108602e-10       1.391318019932e-11      -2.341567511935e-14 
   34       1.556759753846e-10       4.855642851005e-15       9.663766993805e-14       9.663766993805e-13       2.513887932425e-13       3.826710536329e-16       1.253554769330e-10       1.318037081614e-11      -2.491765068900e-14 
   35       1.578785582859e-10       5.321018587679e-15       1.023222387579e-13       1.023222387579e-12       2.499638825740e-13       4.010143215910e-16       1.183819568997e-10       1.249033181558e-11      -2.437585899077e-14 
   36       1.601125033304e-10       5.813542763251e-15       1.081692238298e-13       1.081692238298e-12       2.466854053486e-13       4.195403192303e-16       1.119405661863e-10       1.184801274272e-11      -2.223814070662e-14 
   37       1.623799213203e-10       6.338502656084e-15       1.141786251537e-13       1.141786251537e-12       2.416654373570e-13       4.382310207934e-16       1.059475406627e-10       1.125544125068e-11      -1.905618252498e-14 
   38       1.646815691870e-10       6.898133341317e-15       1.203504427296e-13       1.203504427296e-12       2.350286383413e-13       4.570707779387e-16       1.003874321652e-10       1.071147338200e-11      -1.530731481317e-14 
   39       1.670127035040e-10       7.493817232557e-15       1.266846765574e-13       1.266846765574e-12       2.269368842194e-13       4.760450389283e-16       9.524262932216e-11       1.021141219391e-11      -1.152887153730e-14 
   40       1.693610128312e-10       8.126943774934e-15       1.331813266373e-13       1.331813266373e-12       2.176007469312e-13       4.951398651407e-16       9.046409493383e-11       9.746658940379e-12      -8.375257474006e-15 
   41       1.717123878586e-10       8.798665193025e-15       1.398403929692e-13       1.398403929692e-12       2.072198444666e-13       5.143403266976e-16       8.598845804937e-11       9.307448781481e-12      -6.453300377981e-15 
   42       1.740722315056e-10       9.509072332445e-15       1.466618755530e-13       1.466618755530e-12       1.957733830393e-13       5.336249937399e-16       8.180257232248e-11       8.892909238473e-12      -5.746416961300e-15 
   43       1.764498672902e-10       1.025774756762e-14       1.536457743889e-13       1.536457743889e-12       1.831664383228e-13       5.529696991121e-16       7.789535925311e-11       8.503729796272e-12      -6.015196220526e-15 
   44       1.788523713446e-10       1.104396604628e-14       1.607920894768e-13       1.607920894768e-12       1.692853911070e-13       5.723489333940e-16       7.423843564479e-11       8.139272121453e-12      -6.948633705072e-15 
   45       1.812843358327e-10       1.186696499075e-14       1.681008208166e-13       1.681008208166e-12       1.540033395777e-13       5.917372645876e-16       7.079625844461e-11       7.797997413796e-12      -8.208049744285e-15 
   46       1.837477304132e-10       1.272689103773e-14       1.755719684085e-13       1.755719684085e-12       1.372014236383e-13       6.111143015879e-16       6.756342265580e-11       7.479169877317e-12      -9.585316002635e-15 
   47       1.862415261489e-10       1.362410476725e-14       1.832055322523e-13       1.832055322523e-12       1.187515961435e-13       6.304610714616e-16       6.453617040715e-11       7.181468297203e-12      -1.088412580270e-14 
   48       1.887613816704e-10       1.455891574989e-14       1.910015123481e-13       1.910015123481e-12       9.850949743121e-14       6.497586468400e-16       6.170114077573e-11       6.902407884567e-12      -1.187384414132e-14 
   49       1.912993673831e-10       1.553158068844e-14       1.989599086960e-13       1.989599086960e-12       7.631350409176e-14       6.689881483819e-16       5.903465562532e-11       6.638257284887e-12      -1.228771196262e-14 
   50       1.938472677946e-10       1.654230473867e-14       2.070807212958e-13       2.070807212958e-12       5.202937320493e-14       6.881302956987e-16       5.650985269152e-11       6.385121168312e-12      -1.190810040021e-14 
   51       1.964081850803e-10       1.759125020589e-14       2.153639501477e-13       2.153639501477e-12       2.570066806345e-14       7.071639107109e-16       5.412202427904e-11       6.142726969928e-12      -1.085372094766e-14 
   52       1.989876084501e-10       1.867852699666e-14       2.238095952515e-13       2.238095952515e-12      -2.562480449151e-15       7.260670123023e-16       5.186892199537e-11       5.911522561325e-12      -9.367271218021e-15 
   53       2.015900064478e-10       1.980418797783e-14       2.324176566073e-13       2.324176566073e-12      -3.262423453455e-14       7.448172140112e-16       4.974317394053e-11       5.691573032070e-12      -7.737444891069e-15 
   54       2.042187195408e-10       2.096822726771e-14       2.411881342151e-13       2.411881342151e-12      -6.432185504143e-14       7.633917052444e-16       4.773193982773e-11       5.482532549055e-12      -6.301232455450e-15 
   55       2.068760633334e-10       2.217059323669e-14       2.501210280749e-13       2.501210280749e-12      -9.750451044574e-14       7.817685880567e-16       4.582082979942e-11       5.283841202052e-12      -5.365039445035e-15 
